Text,Classificacao
"Trio é detido após assaltar pizzaria em Uberlândia: Roubo ocorreu na noite desta quinta-feira (26), no Bairro…… https://t.co/BPFYWZXmYw",Positivo
@PMMG190 - 42º BPM: POLICIAIS MILITARES DE CURVELO PRENDEM TRAFICANTE https://t.co/Dlqw1toZ8P,Positivo
Presídio em Minas adota novo modelo e consegue recuperar 60% dos presos https://t.co/OP3MH6aTzs https://t.co/xo75nUoITt,Positivo
"Um jovem é preso, um menor apreendido por tráfico de drogas na Zona Rural da cidade de Luz/MG… https://t.co/uEuvVlmMoZ",Positivo
"Trio é preso suspeito de roubo, tráfico e abuso sexual em Uberlândia https://t.co/WcTPNUeogb",Positivo
"PM apreende armas de fogo, munições e drogas em Juiz de Fora  https://t.co/5SbvUxMxtC",Positivo
"RT @g1mg: Tentativa de fuga é impedida no presídio de Mariana, diz secretaria https://t.co/kS4y9ARHuO",Positivo
Polícia prende nove suspeitos de tráfico de drogas em Ipatinga https://t.co/0du0PUJm70 https://t.co/aOvMBWibc6,Positivo
#timbeta #globo Governo de MG expulsa 117 servidores em 2016 por infrações disciplinares https://t.co/C3qeoLsJ3l #OperacaoBetaLab #Sigodev…,Positivo
RT @joaopaulom: O sucesso do presídio em sistema PPP construído no Governo Aécio Neves em MG vc assiste agora no #JN.,Positivo
Quatro homens são presos por tráfico de drogas em Janaúba  https://t.co/dy9pa1Ku8b,Positivo
"Nesse presídio de Minas os detentos ficam soltos, estudam e trabalham; e não existe violência

https://t.co/wN0HKMH4JS",Positivo
Presídio em Minas adota novo modelo e consegue recuperar 60% dos presos https://t.co/7FGRo6tBjr,Positivo
Polícia em MG apresenta rapaz que recebia drogas sintéticas via correios https://t.co/kPV3i3AdIn,Positivo
Polícia prende nove suspeitos de tráfico de drogas em Ipatinga https://t.co/HgQQ3LpDFe #timbeta #sdv https://t.co/0SfnOoT5op,Positivo
"Dois homens são presos suspeitos de tráfico de drogas em Caldas, MG https://t.co/o6jtnqaWKm https://t.co/FXGxF8eQoz",Positivo
Rio faz bloqueio contra febre amarela em municípios na divisa com Minas Gerais. https://t.co/5pqEnrZrV0 #saúde… https://t.co/fLmCg8J2lx,Positivo
RT @RafaelC23516587: Professores da UFJF e do IF Sudeste decidem pelo fim da greve  https://t.co/hRcpBYVEvQ,Positivo
Prefeitura de Juiz de Fora divulga convocação para educação infantil  https://t.co/b83dszsbLB,Positivo
"#timbeta #globo PM apreende armas de fogo, munições e drogas em Juiz de Fora https://t.co/IZAjg3Oydu #OperacaoBetaLab #Sigodevolta",Positivo
"RT @OGloboPolitica: Com três anos, presídio privado em Minas Gerais não teve rebeliões https://t.co/Pls2dpH7j4 https://t.co/7u5I9Kqa1F",Positivo
Governo de MG prevê aterro e estações de lixo para o Centro-Oeste https://t.co/gNrMqElnnq #SomosTodosDilma #Raynniere #BuyRaynniereOnItunes,Positivo
Polícia Civil de Minas Gerais prende ex-vereador de Esmeraldas acusado de tráfico de droga… https://t.co/JwwJU8xPRP https://t.co/fAsYbfNTso,Positivo
@PMMG190 - 23º BPM-DIVINÓPOLIS: Militares da 53ª Cia prendem autores de roubo https://t.co/FSBpkAaQer,Positivo
"RT @JornalOGlobo: Com três anos, presídio privado em Minas Gerais não teve rebeliões. https://t.co/GHIgjP21c2 https://t.co/ag3VCTfCbl",Positivo
Governo de MG prevê aterro e estações de lixo para o Centro-Oeste https://t.co/OyytvaT1ai https://t.co/g8qBRZKnDW,Positivo
Presos por roubo à casa em Juiz de Fora têm histórico de crimes violentos https://t.co/Jv5VFM1sxP https://t.co/6ZJdxPKzEU,Positivo
@PMMG190 - TERCEIRO BATALHÃO NA LUTA CONTRA O TRÁFICO DE DROGAS https://t.co/RufvjUnPen,Positivo
RT @g1es: Vacinação de febre amarela em áreas de surto em MG chega a 90% e ministro espera queda de casos https://t.co/DFGySvwVoK,Positivo
Dois são detidos ao tentar jogar celulares e drogas em presídio de MG https://t.co/axZdYWT3IQ,Positivo
@PMMG190 - Autor de roubo preso e o veículo produto de crime recuperado https://t.co/Xu3KIHeX1E,Positivo
Jovem é preso suspeito de violência doméstica e cárcere em Uberlândia https://t.co/6QQzuuCUKt,Positivo
Polícia prende nove suspeitos de tráfico de drogas em Ipatinga https://t.co/cJWICbPGqG https://t.co/QvzEb3M2ad,Positivo
Polícia em MG apresenta rapaz que recebia drogas sintéticas via correios https://t.co/MPXXkx6Fqv https://t.co/ONwEXNMGXO,Positivo
@PMMG190 - Processo Seletivo para designação - CTPM/2017 https://t.co/LGeSSioLxA,Positivo
Betim e Contagem intensificam vacinação contra febre amarela neste sábado https://t.co/w78i0xmqsY https://t.co/KqqqAb00Pb,Positivo
Polícia prende nove suspeitos de tráfico de drogas em Ipatinga https://t.co/306X7s54hd https://t.co/Gsv5JqJbub,Positivo
"Contra febre amarela, vacinação é oferecida 'casa a casa' em Varginha, MG https://t.co/ZIQJSjkTNO https://t.co/PlRyeOi7vr",Positivo
RT @CanalSaude: Minas Gerais recebe auxílio da Força Nacional do SUS para casos de febre amarela https://t.co/XS3cGpCkb8 #CanalSaude,Positivo
"New post: ""Secretaria de Educação de Formiga abre novo processo seletivo"" https://t.co/usavULkXs8",Positivo
"RT @JornalOGlobo: Com três anos, presídio privado em Minas Gerais não teve rebeliões. https://t.co/GHIgjP21c2 https://t.co/ag3VCTfCbl",Positivo
RT @ja_1003: Governo de Minas decreta situação de emergência em áreas com surto de febre amarela https://t.co/pLlDy16CcG,Positivo
Policial de folga impede roubo e detém ladrões em Juiz de Fora https://t.co/RxIwGPfFzu https://t.co/E9Z0wzZZqg,Positivo
"RT @JornalOGlobo: Com três anos, presídio privado em Minas Gerais não teve rebeliões. https://t.co/GHIgjPjCAC https://t.co/s9yOwjCAmu",Positivo
"RT @OGloboPolitica: Com três anos, presídio privado em Minas Gerais não teve rebeliões https://t.co/Pls2dpH7j4 https://t.co/7u5I9Kqa1F",Positivo
Ônibus carregado de drogas é flagrado na MG-353; motorista é preso https://t.co/e3Zzjtc9qx #noticias,Positivo
"Com apoio do @governomg, BH-TEC anuncia expansão baseada em modelo pioneiro no Brasil
https://t.co/qwSRyWqeCK https://t.co/ln6Mk8rYQZ",Positivo
Gangue dispensa armas e drogas durante perseguição e acaba detida https://t.co/EcuEjJpqMb via @portalr7,Positivo
@PMMG190 - São Lourenço: mulher é presa por tráfico de drogas https://t.co/Oms9Rljy1V,Positivo
#i5gornascimento @i5gornascimento g1 Vacinação contra febre amarela é intensificada na zona rural de Araxá https://t.co/V6l07zM4zl,Positivo
O Ibmec/MG alcançou um percentual incrível no exame da OAB: 80% de nossos alunos foram aprovados!  Saiba mais:… https://t.co/uNmHoCnuRe,Positivo
@PMMG190 - Menor infrator apreendido por tráfico de drogas no Bairro Dom Almir  https://t.co/EBHoMhp3Ro,Positivo
#Prefeitura de Juiz de Fora apresenta ações de prevenção à febre amarela - https://t.co/jXkN5IWJnz https://t.co/m8iqeuyNhR,Positivo
"Governo anuncia ensino integral em três escolas estaduais do Triângulo: Unidades são em Uberlândia, Ituiutaba e…… https://t.co/T9s7hlB79J",Positivo
Campanha de prevenção à febre amarela tem início em Córrego Fundo https://t.co/pOA9YI0YJN https://t.co/lqPXePf3eN,Positivo
Governador de Minas destaca as conquistas no balanço de sua gestão Confira algumas ações que envolveram... https://t.co/YlEbGpWtv8,Positivo
"Após denúncia, PM apreende drogas, munição e armas em Araxá https://t.co/MUHwhBp8Rx",Positivo
Jovem é preso suspeito de violência doméstica e cárcere em Uberlândia https://t.co/Bnjhv2FOTh,Positivo
Governo de Minas e Iveco entregam 401 ônibus para escolar a municípios... https://t.co/Y8mDIyG7qn,Positivo
Governo anuncia ensino integral em três escolas estaduais do Triângulo https://t.co/7cZoCuqfZQ https://t.co/RVttUYKyXU,Positivo
Governo de Minas Gerais regulamenta Marco Regulatório das OSCs | PT Minas Gerais https://t.co/Ae7FPWjHdl,Positivo
Ex-caseiro é trazido de Minas para o DF e confessa ter matado médica https://t.co/BNrhtqu1sw https://t.co/i0pW6wg80F,Positivo
Ônibus carregado de drogas é flagrado na MG-353; motorista é preso https://t.co/t8sPJrbuPE,Positivo
Prefeitura de Juiz de Fora divulga convocação para educação infantil https://t.co/5jwpDbkKV4 https://t.co/8ILndUeAQK,Positivo
POMPÉU-MG: Assista o momento da prisão dos responsáveis pelo tiroteio em frente ao quartel… https://t.co/Ydn24BWYxp https://t.co/woZvIJ5qBP,Positivo
RT @carlinibh: 'Jeitinho Kalil': novo prefeito de BH almoça de marmitex e elimina traje formal - Politica - Estado de Minas https://t.co/oG…,Positivo
Rio faz bloqueio contra febre amarela em municípios na divisa com Minas Gerais – Simepar https://t.co/kbnyAViN6m,Positivo
#timbeta #globo Jovem é preso suspeito de violência doméstica e cárcere em Uberlândia  https://t.co/uNWr2dDBZK #OperacaoBetaLab #Sigodevol…,Positivo
Três homens são presos por suspeita de roubo de cargas em Santa Luzia MG https://t.co/aN3TiTv6ov,Positivo
Rio distribui vacina de febre amarela a municípios próximos de MG  https://t.co/a2taHhKbo2  #noticias,Positivo
Polícia apreende armas e drogas em uma casa em Montes Claros https://t.co/TOKkJgDQ0e https://t.co/VIorTyhl8o,Positivo
"@PMMG190 - BRASILÂNDIA DE MINAS - AUTOR DE TRÁFICO DE DROGAS É PRESO, MACONHA E ARMA SE FOGO SÃO TIRADAS DE ... https://t.co/STBaeG1SOX",Positivo
RT @bemestar: Vacinação contra febre amarela é intensificada na zona rural de Uberaba https://t.co/9wes9W2NqV,Positivo
"PM apreende maconha e celular em presídio de Coronel Fabriciano, MG https://t.co/DhCWmB16QM",Positivo
RT @pmmg190: @PMMG190 - Apreensão de drogas no Bairro Minas Gerais https://t.co/Ej5a1zwEfD,Positivo
"Notícias: Jaíba MG. Dois jovens são presos com drogas, arma ... https://t.co/vXLkNhL1xy",Positivo
@PMMG190 - POLÍCIA MILITAR PRENDE AUTOR E APREENDE DROGAS NO BAIRRO UNIVERSITÁRIO EM ITUIUTABA https://t.co/uBcytyfUfJ,Positivo
Caminhoneiro suspeito de forjar roubo de carga é preso em Araxá https://t.co/vNWYfMAF6r,Positivo
"Dois homens são presos por tráfico de drogas em Japonvar, Norte de MG https://t.co/I244Z7POqP #G1",Positivo
Dois são detidos ao tentar jogar celulares e drogas em presídio de MG https://t.co/ycSA2Aemuf https://t.co/hKi9WwdEIU,Positivo
Governo de MG expulsa 117 servidores em 2016 por infrações disciplinares  https://t.co/t1hGZPSBE9,Positivo
Processo seletivo CEFET MG 2017 é divulgado para Professor https://t.co/m3jjQCB3QO,Positivo
"Dois homens são presos suspeitos de tráfico de drogas em Caldas, MG https://t.co/azhm19wmi1 https://t.co/2XKq87q41e",Positivo
Secretaria anuncia mais profissionais para vacinar contra febre amarela https://t.co/Z3FJDmSUcL,Positivo
Presídio em Minas adota novo modelo e consegue recuperar 60% dos presos https://t.co/TGVUKEP9O1,Positivo
Pimentel anuncia R$ 26 milhões para o combate da febre amarela em MG https://t.co/MrLyUQWEvT https://t.co/yT2t5lxypH,Positivo
Betim e Contagem terão vacinação hoje contra a febre amarela - Gerais - Estado de Minas https://t.co/fqCx6xl8pJ,Positivo
Processo de designação de professores estaduais em Minas será feito pela internet https://t.co/3cVCxoBh1q https://t.co/MXyQFhvQdW,Positivo
"RT @SamuelStraioto: Ponto de vista sobre adm privada em presídios... Com três anos, presídio privado em Minas Gerais não teve rebeliões htt…",Positivo
Cinco homens são presos suspeitos de tráfico de drogas em Pirapora https://t.co/EP7nX5Eq7C,Positivo
Pimentel visita Sala de Situação Contra a Febre Amarela e reafirma empenho do Estado para conter avanço da doença. https://t.co/BPnVKjs3wI,Positivo
"Dupla é presa com drogas, arma e carro roubado em Patos de Minas

Saiba mais: https://t.co/PMDelEJg47 https://t.co/KinXwKgnn6",Positivo
@PMMG190 - LAJINHA -  PM e PC prendem autor de roubo em bar. https://t.co/jKJ8T88iZA,Positivo
"RT @g1: Tentativa de fuga é impedida no presídio de Mariana, MG, diz secretaria https://t.co/AavPLJ5BBN #G1 https://t.co/3WNyyYm2mU",Positivo
Dupla é presa em Patrocínio suspeita de envolvimento em roubo à fazenda https://t.co/CCNOyuquvT,Positivo
Secretaria de Educação de Formiga abre novo processo seletivo: Interessados podem se inscrever pela internet até as… https://t.co/nDiEaBGiVk,Positivo
Governo de MG prevê aterro e estações de lixo para o Centro-Oeste https://t.co/l0HBMFBt6P https://t.co/icJoR14V4f,Positivo
"Ponto de vista sobre adm privada em presídios... Com três anos, presídio privado em Minas Gerais não teve rebeliões https://t.co/8Sbtui8010",Positivo
"RT @OGloboPolitica: Com três anos, presídio privado em Minas Gerais não teve rebeliões https://t.co/Pls2dpH7j4 https://t.co/7u5I9Kqa1F",Positivo
"Polícia apreende armas e drogas no distrito de Barra Alegre, em Ipatinga https://t.co/c9rjcZpC5w #brasil",Positivo
É o único presídio controlado pela iniciativa privada e o custo por preso é quase a metade dos presos nos... https://t.co/zaNVwjay5O,Positivo
Presídio em Minas adota novo modelo e consegue recuperar 60% dos presos https://t.co/uafRDnehMc,Positivo
#timbeta #globo Quatro homens são presos por  tráfico de drogas em Janaúba https://t.co/2ONQUSnfcD #OperacaoBetaLab #Sigodevolta,Positivo
Homem é preso e confessa roubo a farmácia em Montes Claros https://t.co/nXDoz6LuBR,Positivo
@PMMG190 - Menor traficante é apreendido pela Polícia Militar https://t.co/ZWI7KIS4ZY,Positivo
Campanha de prevenção à febre amarela tem início em Córrego Fundo https://t.co/a9cMaCjOTh https://t.co/Dck0bV1WU8,Positivo
"Dois homens são presos por tráfico de drogas em Japonvar, Norte de MG https://t.co/ruTcvc5JuF",Positivo
RT @RadioAlvorada: Lei que pune aluno que depredar escola é sancionada pelo governador de Minas. #PainelAlvorada,Positivo
Nutricionista dá dicas de lanches saudáveis e simples para as crianças levarem à escola - G1 Grande Minas - MG... https://t.co/tyV2WuwvZy,Positivo
Agricultores são vacinados contra a febre amarela no ES e em MG https://t.co/WuDo8y24I6 https://t.co/Y6grjfneLt,Positivo
"Polícia Federal e Polícia Civil combatem roubo de cargas em Medina, MG https://t.co/GfyjQpPH4p https://t.co/sDfc19qZig",Positivo
@dietaenteral: Agência SaúdeForça Nacional do SUS reforça ajuda ao estado de Minas Gerais https://t.co/qJKEbWCeFd,Positivo
RT @agenciabrasil: Rio faz bloqueio contra febre amarela em municípios na divisa com Minas Gerais (� Marcelo Camargo/ABr) https://t.co/JElQ…,Positivo
Campanha de prevenção à febre amarela tem início em Córrego Fundo https://t.co/l1sWWZTUBJ https://t.co/1PjgiG1k2C,Positivo
"Homem é preso após transportar drogas em ônibus de turismo, em MG https://t.co/xfbfTVd6Gn #SomosTodosDilma #Raynniere #BuyRaynniereOnItunes",Positivo
Operação contra furto e roubo é realizada em Patos de Minas https://t.co/PIXtYRlBMO #SomosTodosDilma #Raynniere #BuyRaynniereOnItunes,Positivo
Governo anuncia ensino integral em três escolas estaduais do Triângulo https://t.co/djaGXT6ToG https://t.co/ykPUQQY22W,Positivo
Presídio em Minas adota novo modelo e consegue recuperar 60% dos presos https://t.co/7IuI6aiqMf https://t.co/uYzwos2PxO,Positivo
Presídio em Minas adota novo modelo e consegue recuperar 60% dos presos https://t.co/5ADRL1wOvn,Positivo
Caminhoneiro suspeito de forjar roubo de carga é preso em Araxá https://t.co/PUZKL4G8Gr,Positivo
RT @jornalhoje: Minas Gerais é o quarto estado a garantir o direito à amamentação em público: https://t.co/iVvCtS2Pr9 #JornalHoje https://t…,Positivo
Vacinação contra febre amarela é retomada na zona rural de Januária - Gerais - Estado de Minas https://t.co/AOFH6Zzgg4,Positivo
PM apreende drogas na casa de avós de adolescente em Montes Claros  https://t.co/iHrsmO3ykH,Positivo
@PMMG190 - 21° BPM  UBA  PM PRENDE TRAFICANTE DE DROGAS https://t.co/pTQBQWPocu,Positivo
Presídio em Minas adota novo modelo e consegue recuperar 60% dos presos https://t.co/hHKMNNNh0v,Positivo
RT @timbetassssssss: Assaltante é baleado por cliente durante roubo a posto em Uberlândia https://t.co/tNVu0lY61t https://t.co/HO2YMUxDJ3,Positivo
"Polícia Militar apreende armas e drogas na Região do Barreiro, em Belo Horizonte https://t.co/DtY5O3kO7j https://t.co/JwJI6cyKwZ",Positivo
Fernando Pimentel entrega viaturas à PM em Governador Valadares https://t.co/oWEeXp0nyV https://t.co/L6L0NKqrna,Positivo
Betim e Contagem intensificam vacinação contra febre amarela neste sábado https://t.co/N4iL0whpPN,Positivo
Jovem é preso em Patos de Minas suspeito de tráfico e roubo na região https://t.co/f2dfD9NZOf https://t.co/7FcX0L9euh,Positivo
Ônibus carregado de drogas é flagrado na MG-353; motorista é preso  https://t.co/xunciUKwyd,Positivo
'Jeitinho Kalil': novo prefeito de BH almoça de marmitex e elimina traje formal - Politica - Estado de Minas https://t.co/voyWgIM3gC,Positivo
"Notificações por febre amarela estão em declínio, afirma governo de MG https://t.co/VRQKDxci6r https://t.co/0iEHKX193x",Positivo
"RT @felipefonte: Com três anos, presídio privado em Minas Gerais não teve rebeliões. E agora, José? https://t.co/zOGi877LRn",Positivo
Prevenção contra febre amarela é reforçada na zona rural do Sul de MG https://t.co/1k26ncLdDr,Positivo
"Ônibus carregado de drogas é flagrado na MG-353 em Juiz de Fora, MG https://t.co/jzkrkcBAT4 https://t.co/UL4o8wpAfH",Positivo
"RT @OGloboPolitica: Com três anos, presídio privado em Minas Gerais não teve rebeliões https://t.co/Pls2dpH7j4 https://t.co/7u5I9Kqa1F",Positivo
